"term","odds_ratio","lower_ci","upper_ci","p.value"
"(Intercept)",0,0,0,6.90360887830185e-08
"sectorRwempasha",1.9,0.79,4.72,0.154989918537498
"sectorRwimiyaga",3.06,1.37,7.45,0.0089953789670818
"herd_size_cattle",1.02,1.01,1.04,0.00843018489861954
"herd_size_sheep",0.97,0.94,1,0.0999587689433398
"Herdsizegoats",1.01,1,1.03,0.150264748975505
"farm_fencedYes",2.4,0.79,9.27,0.15555887630082
"shared_waterYes",2.49,1.27,4.93,0.00812875395644262
"animalFeedAbortYes",0.33,0.11,0.91,0.036614145988122
"throwingAbortYes",3.15,1.18,7.99,0.0176009292785126
"speciesgoat",0.99,0.54,1.76,0.969558493484471
"speciessheep",0.12,0.01,0.6,0.0416806925280535
"AgeAdult",9.26,1.82,169.73,0.0331989157523248
"AgeYoung Adult ",4.44,0.16,126.41,0.320562810603443
"SexMale",0.34,0.08,1,0.0864565342884364
"aborted_animal_fateKept in the herd",10.01,2.27,49.19,0.00311298255915768
"buryingAbortYes",0.08,0.02,0.26,6.6115419379633e-05
